# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
dc0d318ed9fc1f7bb44e6a7bf1b5b33d	0.0	0.0	2.0	23.0	0.0	1.0	3.0	0.0
6ea569711b25a5f7a1e7ad4881bca6a9	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
e324e375477659fb992ec7fdeb844287	14.0	2.0	25.0	116.0	88.0	83.0	100.0	47.0
6e99b6cc301df019f263dcf2c1f2bb61	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
b4e526cb58532e9b989a5a02c98a9fcf	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6c77ec34cf87c404a48f10e17ebeff5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
3512eb609918d44ff7648d93df37c4af	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
3b1fc2925b6c4021ad24d2fcfee1337e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
bdb82b871b11d2efc9f48ee8d6a8eb4d	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
dae75e4fcc08272304fff08e0747f9b5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
8ac8e978fcff626a1aa7ed3e70b2a159	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
7a65dcd6d23b0efe3c4da7ffadd33487	35.0	63.0	7.0	28.0	41.0	109.0	37.0	46.0
618d1bc6f7f775064d324b932c38d7c1	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0
090fad81bc0f3d70962c1eda8a7a93ec	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
41de34aa79e49e3c4a68823a90de5a54	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
b0d37c6ca23fca4fa11f4f943960d3a1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
638411ddca7e21a307f8c8fe0c0a1494	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
