# Constructed from biom file
#OTU ID	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
464479872449998c1e7257a1a5dada7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4b004b387a9dfb2089ec7fc39dd54e98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
3f1eed8fd44f07b29f7856058d1aed64	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
5244e1dead5b16357664642e236d1ecc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64f9bc58dd7599bb896f459ecb02e248	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
55cca38113297622dfea9ca4c1673242	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d143424d7395e707425ea8c3ba4f77d0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fee17e5151cc5616ac2f0267c1e832a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8412d92ea37579a1dc66f578f1b07827	27.0	231.0	220.0	7.0	0.0	6.0	90.0	20.0	72.0	9.0	0.0	117.0	55.0	212.0	78.0	122.0	148.0	169.0	20.0
e3f6c31824f68ed3ba33ee947e370254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72e4ba5268436c5ea116fbaf40160be1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a47c56b606ce5ff8a7c5cd5879adb6c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
